ID,PET,TSV,TAV,Tg,Ta,Va
112,31.0,1,1,31.7,30.8,0.7
113,31.1,1,1,36.4,34.1,3.2
114,38.5,3,0,36.4,34.1,3.2
115,38.4,3,0,32.1,30.4,0.7
116,31.9,1,1,31.1,31.0,1.1
117,29.6,0,1,32.2,30.4,0.7
118,32.0,1,1,31.1,31.0,1.1
119,29.5,0,1,31.1,31.0,1.1
120,29.6,1,1,32.2,30.4,0.7
121,32.0,1,1,32.2,30.4,0.7
122,31.8,1,1,36.4,34.1,0.81
123,37.0,2,0,36.4,34.1,0.8
124,37.1,2,0,31.1,31.0,1.1
125,29.7,1,1,31.2,30.5,1.3
126,29.9,0,1,31.2,30.8,1.3
127,29.7,1,1,36.4,34.1,3.5
128,37.9,3,0,36.4,34.1,0.81
129,37.1,2,0,36.4,34.1,0.8
130,37.0,2,0,31.2,30.8,1.3
131,30.0,1,1,31.2,30.9,0.61
132,30.3,1,1,36.4,34.1,3.5
133,37.9,2,0,36.4,34.1,3.5
134,38.2,3,0,36.4,34.1,0.8
135,37.1,2,0,31.2,30.8,1.3
136,29.7,1,1,31.2,30.8,1.3
137,30.0,1,1,36.4,34.1,0.8
138,37.2,2,0,29.2,28.8,0.9
139,27.8,1,1,31.2,30.8,1.3
140,30.1,1,1,31.2,30.8,1.3
141,29.7,0,1,29.7,29.7,0.9
142,27.9,0,1,36.4,34.1,0.8
143,37.0,2,0,36.4,34.1,0.8
144,37.1,2,0,36.4,34.1,0.8
145,37.0,2,0,31.2,30.8,1.3
146,30.0,1,1,29.5,28.5,1.0
147,27.4,-1,1,24.5,23.5,1.7
148,21.1,-2,1,28.1,22.8,1.2
149,27.9,0,1,26.5,23.5,1.7
150,24.7,-1,1,32.1,22.4,1.3
151,35.0,2,1,32.1,22.4,1.3
152,35.1,2,1,28.1,22.8,1.2
153,27.8,0,1,26.5,23.5,1.7
154,25.1,0,1,28.0,26.6,0.8
155,26.4,0,1,27.2,24.4,0.9
156,26.0,0,1,28.1,22.8,1.2
157,27.8,0,1,26.5,23.5,1.7
158,25.1,0,1,27.2,24.4,0.9
159,26.2,0,1,28.0,26.6,0.8
160,26.9,0,1,28.0,26.6,0.8
161,26.9,0,1,28.0,26.6,0.8
162,33.6,0,1,31.9,24.9,1.2
163,33.4,1,1,31.9,25.0,1.2
164,26.2,0,1,27.1,23.5,0.8
165,26.5,0,1,28.0,26.6,0.75
166,26.7,0,1,28.0,26.6,0.75
167,26.3,1,1,27.1,23.5,0.8
168,33.6,0,1,31.9,24.9,1.2
169,40.7,3,0,37.1,26.3,0.8
170,23.7,-1,1,25.2,24.0,0.52
171,23.8,-1,1,25.2,24.0,0.52
172,38.9,3,0,33.5,25.6,1.5
173,27.5,0,1,28.2,24.0,1.5
174,38.3,3,0,36.7,29.4,0.52
175,39.2,3,0,33.5,25.6,1.5
176,24.0,-1,1,25.2,24.0,0.52
177,27.6,0,1,28.7,26.3,0.55
178,27.0,0,1,27.8,26.2,0.34
179,26.4,0,1,27.0,22.8,0.8
180,29.1,1,1,29.3,21.2,0.23
181,26.3,0,1,27.2,24.0,0.53
182,29.0,1,1,29.4,25.8,0.41
183,29.0,0,1,29.4,25.8,0.4
184,29.9,1,1,30.3,25.6,0.15
185,32.6,0,1,31.9,25.4,0.6
186,26.3,0,1,27.1,26.0,0.3
187,27.5,0,1,28.0,25.8,0.16
188,28.4,0,1,29.3,26.1,1.2
189,27.2,0,1,28.6,25.8,1.3
190,29.9,0,1,30.1,26.8,0.8
191,29.0,0,1,29.6,27.4,0.9
192,29.9,0,1,30.2,26.5,1.1
193,31.2,0,1,31.5,28.5,1.6
194,32.6,0,1,32.0,27.6,1.5
195,33.2,1,1,32.6,28.4,1.1
196,33.7,1,1,33.2,28.6,0.6
